mu,q_mu,nll_mu,converged,n_iter
0.0,0.0,27349.671684207075,True,0
0.1,0.0,1146.3093859426015,True,17
0.2,0.0,617.9141079044429,True,21
0.30000000000000004,0.0,364.0722796240088,True,19
0.4,0.0,218.6959121682307,True,17
0.5,0.0,129.89912341118415,True,21
0.6000000000000001,0.0,74.71012658927933,True,17
0.7000000000000001,0.0,40.997177997959476,True,20
0.8,0.0,21.627104986660992,True,17
0.9,0.0,12.095720878553973,True,18
1.0,0.0,9.414264010107903,True,0
1.1,4.228193440239927,11.528360730227867,True,13
1.2000000000000002,15.151345483692204,16.989936751954005,True,15
1.3,30.691679271076474,24.76010364564614,True,17
1.4000000000000001,49.34079369970595,34.08466085996088,True,16
1.5,69.99582638206817,44.412177201141986,True,21
1.6,91.84796207481426,55.33824504751504,True,22
1.7000000000000002,114.30444494431421,66.566486482265,True,17
1.8,136.9327972711815,77.88066264569865,True,17
1.9000000000000001,159.4202085725742,89.124368296395,True,20
2.0,181.54355851596102,100.18604326808841,True,19
2.1,203.14705637050645,110.98779219536112,True,19
2.2,224.12543321304324,121.47698061662952,True,19
2.3000000000000003,244.41123971932512,131.61988386977046,True,20
2.4000000000000004,263.96521310367666,141.39687056194623,True,22
2.5,282.76895640937653,150.79874221479616,True,24
2.6,300.81937395405436,159.82395098713508,True,22
2.7,318.12443971130966,168.47648386576273,True,18
2.8000000000000003,334.699988270012,176.7642581451139,True,23
2.9000000000000004,350.56728503058764,184.69790652540172,True,23
3.0,365.7511947511388,192.2898613856773,True,21
